,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Payment,cogs,gross income,Rating,month,day,day_period
185,B,Mandalay,Member,Male,Food and beverages,18.08,3,2.712,56.952,2019-03-05,Ewallet,54.24,2.712,8.0,March,Tuesday,Evening
186,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,2019-03-03,Ewallet,755.92,37.796,7.5,March,Sunday,Evening
187,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,2019-02-08,Cash,185.88,9.294,7.0,February,Friday,morning
188,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,2019-02-10,Ewallet,74.07,3.7035,9.9,February,Sunday,Afternoon
189,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,2019-01-28,Credit card,279.24,13.962,5.9,January,Monday,Evening
190,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,2019-02-11,Credit card,231.12,11.556,7.2,February,Monday,morning
191,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,2019-01-15,Ewallet,147.04,7.352,4.6,January,Tuesday,Afternoon
192,C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,39.51,829.71,2019-03-16,Cash,790.2,39.51,9.2,March,Saturday,Evening
193,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,2019-01-26,Ewallet,102.2,5.11,5.7,January,Saturday,Evening
194,A,Yangon,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,2019-03-19,Credit card,163.55,8.1775,9.9,March,Tuesday,morning
195,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,2019-01-13,Cash,74.29,3.7145,5.0,January,Sunday,Evening
196,C,Naypyitaw,Member,Male,Health and beauty,43.7,2,4.37,91.77,2019-03-26,Cash,87.4,4.37,4.9,March,Tuesday,Evening
197,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,2019-03-23,Ewallet,25.29,1.2645,6.1,March,Saturday,morning
198,C,Naypyitaw,Normal,Male,Health and beauty,41.5,4,8.3,174.3,2019-03-12,Credit card,166.0,8.3,8.2,March,Tuesday,Evening
199,C,Naypyitaw,Member,Female,Food and beverages,71.39,5,17.8475,374.7975,2019-02-17,Credit card,356.95,17.8475,5.5,February,Sunday,Evening
200,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,5.745,120.645,2019-01-29,Credit card,114.9,5.745,6.8,January,Tuesday,morning
201,B,Mandalay,Member,Female,Electronic accessories,57.49,4,11.498,241.458,2019-03-15,Cash,229.96,11.498,6.6,March,Friday,morning
202,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,2019-01-14,Cash,429.87,21.4935,9.8,January,Monday,morning
203,B,Mandalay,Member,Male,Health and beauty,25.9,10,12.95,271.95,2019-02-06,Ewallet,259.0,12.95,8.7,February,Wednesday,Afternoon
204,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,4.4425,93.2925,2019-02-15,Credit card,88.85,4.4425,5.4,February,Friday,Afternoon
205,A,Yangon,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,2019-01-03,Ewallet,207.27,10.3635,7.9,January,Thursday,Afternoon
206,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,2019-01-04,Credit card,599.85,29.9925,9.7,January,Friday,Evening
207,C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,14.265,299.565,2019-03-18,Ewallet,285.3,14.265,7.8,March,Monday,Evening
208,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,4.5555,95.6655,2019-03-28,Ewallet,91.11,4.5555,5.1,March,Thursday,Afternoon
209,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,44.8785,942.4485,2019-03-02,Credit card,897.57,44.8785,6.5,March,Saturday,Evening
210,A,Yangon,Normal,Male,Electronic accessories,26.23,9,11.8035,247.8735,2019-01-25,Ewallet,236.07,11.8035,5.9,January,Friday,Evening
211,C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,41.967,881.307,2019-01-16,Cash,839.34,41.967,8.8,January,Wednesday,Evening
212,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,23.09,484.89,2019-03-20,Ewallet,461.8,23.09,4.9,March,Wednesday,Evening
213,B,Mandalay,Normal,Male,Sports and travel,46.42,3,6.963,146.223,2019-01-04,Credit card,139.26,6.963,4.4,January,Friday,Afternoon
214,B,Mandalay,Member,Female,Sports and travel,29.61,7,10.3635,217.6335,2019-03-11,Cash,207.27,10.3635,6.5,March,Monday,Afternoon
215,A,Yangon,Normal,Male,Home and lifestyle,18.28,1,0.914,19.194,2019-03-22,Credit card,18.28,0.914,8.3,March,Friday,Afternoon
216,B,Mandalay,Normal,Female,Sports and travel,24.77,5,6.1925,130.0425,2019-03-24,Cash,123.85,6.1925,8.5,March,Sunday,Evening
217,A,Yangon,Member,Female,Electronic accessories,94.64,3,14.196,298.116,2019-02-21,Cash,283.92,14.196,5.5,February,Thursday,Evening
218,B,Mandalay,Normal,Male,Fashion accessories,94.87,8,37.948,796.908,2019-02-12,Ewallet,758.96,37.948,8.7,February,Tuesday,Afternoon
219,B,Mandalay,Normal,Female,Food and beverages,57.34,3,8.601,180.621,2019-03-10,Credit card,172.02,8.601,7.9,March,Sunday,Evening
220,B,Mandalay,Normal,Male,Electronic accessories,45.35,6,13.605,285.705,2019-01-31,Ewallet,272.1,13.605,6.1,January,Thursday,Afternoon
221,B,Mandalay,Normal,Male,Food and beverages,62.08,7,21.728,456.288,2019-03-06,Ewallet,434.56,21.728,5.4,March,Wednesday,Afternoon
222,C,Naypyitaw,Normal,Male,Electronic accessories,11.81,5,2.9525,62.0025,2019-02-17,Cash,59.05,2.9525,9.4,February,Sunday,Evening
223,C,Naypyitaw,Member,Female,Fashion accessories,12.54,1,0.627,13.167,2019-02-21,Cash,12.54,0.627,8.2,February,Thursday,Afternoon
224,A,Yangon,Normal,Male,Food and beverages,43.25,2,4.325,90.825,2019-03-20,Cash,86.5,4.325,6.2,March,Wednesday,Afternoon
225,C,Naypyitaw,Member,Female,Sports and travel,87.16,2,8.716,183.036,2019-01-11,Credit card,174.32,8.716,9.7,January,Friday,Afternoon
226,B,Mandalay,Member,Male,Health and beauty,69.37,9,31.2165,655.5465,2019-01-26,Ewallet,624.33,31.2165,4.0,January,Saturday,Evening
227,C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,7.412,155.652,2019-01-31,Ewallet,148.24,7.412,9.7,January,Thursday,Evening
228,B,Mandalay,Member,Female,Electronic accessories,90.7,6,27.21,571.41,2019-02-26,Cash,544.2,27.21,5.3,February,Tuesday,morning
229,A,Yangon,Normal,Female,Home and lifestyle,63.42,8,25.368,532.728,2019-03-11,Ewallet,507.36,25.368,7.4,March,Monday,Afternoon
230,B,Mandalay,Normal,Female,Fashion accessories,81.37,2,8.137,170.877,2019-01-26,Cash,162.74,8.137,6.5,January,Saturday,Evening
231,B,Mandalay,Member,Female,Electronic accessories,10.59,3,1.5885,33.3585,2019-03-12,Credit card,31.77,1.5885,8.7,March,Tuesday,Afternoon
232,B,Mandalay,Normal,Female,Health and beauty,84.09,9,37.8405,794.6505,2019-02-11,Cash,756.81,37.8405,8.0,February,Monday,morning
233,B,Mandalay,Member,Male,Fashion accessories,73.82,4,14.764,310.044,2019-02-21,Cash,295.28,14.764,6.7,February,Thursday,Evening
234,A,Yangon,Member,Male,Health and beauty,51.94,10,25.97,545.37,2019-03-09,Ewallet,519.4,25.97,6.5,March,Saturday,Evening
235,A,Yangon,Normal,Female,Sports and travel,93.14,2,9.314,195.594,2019-01-20,Ewallet,186.28,9.314,4.1,January,Sunday,Evening
236,C,Naypyitaw,Normal,Male,Health and beauty,17.41,5,4.3525,91.4025,2019-01-28,Credit card,87.05,4.3525,4.9,January,Monday,Afternoon
237,C,Naypyitaw,Member,Female,Fashion accessories,44.22,5,11.055,232.155,2019-03-05,Credit card,221.1,11.055,8.6,March,Tuesday,Evening
238,B,Mandalay,Member,Female,Electronic accessories,13.22,5,3.305,69.405,2019-03-02,Cash,66.1,3.305,4.3,March,Saturday,Evening
239,A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.4845,94.1745,2019-01-11,Ewallet,89.69,4.4845,4.9,January,Friday,morning
240,A,Yangon,Normal,Male,Food and beverages,24.94,9,11.223,235.683,2019-01-11,Credit card,224.46,11.223,5.6,January,Friday,Evening
241,A,Yangon,Normal,Male,Health and beauty,59.77,2,5.977,125.517,2019-03-11,Credit card,119.54,5.977,5.8,March,Monday,Afternoon
242,C,Naypyitaw,Member,Male,Fashion accessories,93.2,2,9.32,195.72,2019-02-28,Credit card,186.4,9.32,6.0,February,Thursday,Evening
243,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,2019-01-05,Cash,250.6,12.53,4.2,January,Saturday,morning
244,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,37.548,788.508,2019-02-02,Credit card,750.96,37.548,8.3,February,Saturday,Evening
245,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.036,399.756,2019-01-01,Cash,380.72,19.036,5.7,January,Tuesday,Afternoon
246,B,Mandalay,Member,Female,Electronic accessories,81.4,3,12.21,256.41,2019-02-09,Cash,244.2,12.21,4.8,February,Saturday,Evening
247,A,Yangon,Member,Male,Fashion accessories,17.94,5,4.485,94.185,2019-01-23,Ewallet,89.7,4.485,6.8,January,Wednesday,Afternoon
248,A,Yangon,Member,Male,Electronic accessories,77.72,4,15.544,326.424,2019-01-07,Credit card,310.88,15.544,8.8,January,Monday,Evening
249,B,Mandalay,Normal,Male,Food and beverages,73.06,7,25.571,536.991,2019-01-14,Credit card,511.42,25.571,4.2,January,Monday,Evening
250,B,Mandalay,Member,Male,Food and beverages,46.55,9,20.9475,439.8975,2019-02-02,Ewallet,418.95,20.9475,6.4,February,Saturday,Afternoon
251,C,Naypyitaw,Member,Male,Fashion accessories,35.19,10,17.595,369.495,2019-03-17,Credit card,351.9,17.595,8.4,March,Sunday,Evening
252,C,Naypyitaw,Normal,Female,Sports and travel,14.39,2,1.439,30.219,2019-03-02,Credit card,28.78,1.439,7.2,March,Saturday,Evening
253,A,Yangon,Normal,Male,Home and lifestyle,23.75,4,4.75,99.75,2019-03-16,Cash,95.0,4.75,5.2,March,Saturday,morning
254,A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,2019-01-06,Cash,471.2,23.56,8.9,January,Sunday,morning
255,B,Mandalay,Member,Male,Fashion accessories,32.62,4,6.524,137.004,2019-01-29,Cash,130.48,6.524,9.0,January,Tuesday,Afternoon
256,A,Yangon,Member,Male,Electronic accessories,66.35,1,3.3175,69.6675,2019-01-31,Credit card,66.35,3.3175,9.7,January,Thursday,morning
257,A,Yangon,Member,Male,Home and lifestyle,25.91,6,7.773,163.233,2019-02-05,Ewallet,155.46,7.773,8.7,February,Tuesday,morning
258,A,Yangon,Member,Male,Electronic accessories,32.25,4,6.45,135.45,2019-02-13,Ewallet,129.0,6.45,6.5,February,Wednesday,Afternoon
259,C,Naypyitaw,Member,Male,Electronic accessories,65.94,4,13.188,276.948,2019-02-07,Credit card,263.76,13.188,6.9,February,Thursday,Afternoon
260,A,Yangon,Normal,Female,Electronic accessories,75.06,9,33.777,709.317,2019-03-19,Ewallet,675.54,33.777,6.2,March,Tuesday,Afternoon
261,C,Naypyitaw,Normal,Female,Fashion accessories,16.45,4,3.29,69.09,2019-03-07,Ewallet,65.8,3.29,5.6,March,Thursday,Afternoon
262,B,Mandalay,Member,Female,Fashion accessories,38.3,4,7.66,160.86,2019-03-13,Cash,153.2,7.66,5.7,March,Wednesday,Evening
263,A,Yangon,Member,Female,Sports and travel,22.24,10,11.12,233.52,2019-02-09,Cash,222.4,11.12,4.2,February,Saturday,morning
264,B,Mandalay,Normal,Male,Sports and travel,54.45,1,2.7225,57.1725,2019-02-26,Ewallet,54.45,2.7225,7.9,February,Tuesday,Evening
265,A,Yangon,Member,Female,Sports and travel,98.4,7,34.44,723.24,2019-03-12,Credit card,688.8,34.44,8.7,March,Tuesday,Afternoon
266,C,Naypyitaw,Normal,Male,Home and lifestyle,35.47,4,7.094,148.974,2019-03-14,Credit card,141.88,7.094,6.9,March,Thursday,Evening
267,B,Mandalay,Member,Female,Food and beverages,74.6,10,37.3,783.3,2019-01-08,Cash,746.0,37.3,9.5,January,Tuesday,Evening
268,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,297.108,2019-01-05,Credit card,282.96,14.148,4.4,January,Saturday,Evening
269,A,Yangon,Member,Female,Home and lifestyle,35.54,10,17.77,373.17,2019-01-04,Ewallet,355.4,17.77,7.0,January,Friday,Afternoon
270,B,Mandalay,Normal,Female,Sports and travel,67.43,5,16.8575,354.0075,2019-03-06,Ewallet,337.15,16.8575,6.3,March,Wednesday,Evening
271,C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.112,44.352,2019-01-03,Cash,42.24,2.112,9.7,January,Thursday,Evening
272,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,203.553,2019-01-07,Credit card,193.86,9.693,8.8,January,Monday,morning
273,A,Yangon,Normal,Female,Home and lifestyle,12.03,2,1.203,25.263,2019-01-27,Cash,24.06,1.203,5.1,January,Sunday,Afternoon
274,B,Mandalay,Normal,Female,Health and beauty,99.71,6,29.913,628.173,2019-02-26,Ewallet,598.26,29.913,7.9,February,Tuesday,Evening
275,B,Mandalay,Normal,Male,Fashion accessories,47.97,7,16.7895,352.5795,2019-01-07,Cash,335.79,16.7895,6.2,January,Monday,Evening
276,C,Naypyitaw,Member,Female,Home and lifestyle,21.82,10,10.91,229.11,2019-01-07,Cash,218.2,10.91,7.1,January,Monday,Evening
277,C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,19.084,400.764,2019-02-02,Ewallet,381.68,19.084,6.4,February,Saturday,Afternoon
278,C,Naypyitaw,Member,Male,Fashion accessories,70.99,10,35.495,745.395,2019-03-20,Cash,709.9,35.495,5.7,March,Wednesday,Evening
279,A,Yangon,Member,Male,Sports and travel,44.02,10,22.01,462.21,2019-03-20,Credit card,440.2,22.01,9.6,March,Wednesday,Evening
280,A,Yangon,Normal,Female,Home and lifestyle,69.96,8,27.984,587.664,2019-02-15,Credit card,559.68,27.984,6.4,February,Friday,Evening
281,C,Naypyitaw,Normal,Male,Home and lifestyle,37.0,1,1.85,38.85,2019-03-06,Credit card,37.0,1.85,7.9,March,Wednesday,Afternoon
282,A,Yangon,Normal,Female,Sports and travel,15.34,1,0.767,16.107,2019-01-06,Cash,15.34,0.767,6.5,January,Sunday,morning
283,A,Yangon,Member,Male,Health and beauty,99.83,6,29.949,628.929,2019-03-04,Ewallet,598.98,29.949,8.5,March,Monday,Afternoon
284,A,Yangon,Member,Female,Health and beauty,47.67,4,9.534,200.214,2019-03-12,Cash,190.68,9.534,9.1,March,Tuesday,Afternoon
285,B,Mandalay,Normal,Male,Health and beauty,66.68,5,16.67,350.07,2019-02-20,Cash,333.4,16.67,7.6,February,Wednesday,Evening
286,C,Naypyitaw,Member,Male,Home and lifestyle,74.86,1,3.743,78.603,2019-03-24,Cash,74.86,3.743,6.9,March,Sunday,Afternoon
287,C,Naypyitaw,Normal,Female,Sports and travel,23.75,9,10.6875,224.4375,2019-01-31,Cash,213.75,10.6875,9.5,January,Thursday,Afternoon
288,B,Mandalay,Normal,Female,Food and beverages,48.51,7,16.9785,356.5485,2019-01-25,Credit card,339.57,16.9785,5.2,January,Friday,Afternoon
289,A,Yangon,Member,Female,Home and lifestyle,94.88,7,33.208,697.368,2019-02-03,Cash,664.16,33.208,4.2,February,Sunday,Afternoon
290,B,Mandalay,Member,Male,Electronic accessories,40.3,10,20.15,423.15,2019-01-24,Credit card,403.0,20.15,7.0,January,Thursday,Evening
291,C,Naypyitaw,Normal,Male,Electronic accessories,27.85,7,9.7475,204.6975,2019-03-14,Ewallet,194.95,9.7475,6.0,March,Thursday,Evening
292,A,Yangon,Member,Female,Electronic accessories,62.48,1,3.124,65.604,2019-02-18,Cash,62.48,3.124,4.7,February,Monday,Evening
293,A,Yangon,Member,Female,Food and beverages,36.36,2,3.636,76.356,2019-01-21,Cash,72.72,3.636,7.1,January,Monday,morning
294,B,Mandalay,Normal,Male,Health and beauty,18.11,10,9.055,190.155,2019-03-13,Ewallet,181.1,9.055,5.9,March,Wednesday,morning
295,C,Naypyitaw,Member,Female,Electronic accessories,51.92,5,12.98,272.58,2019-03-03,Cash,259.6,12.98,7.5,March,Sunday,Afternoon
296,C,Naypyitaw,Normal,Male,Electronic accessories,28.84,4,5.768,121.128,2019-03-29,Cash,115.36,5.768,6.4,March,Friday,Afternoon
297,A,Yangon,Member,Male,Home and lifestyle,78.38,6,23.514,493.794,2019-01-10,Ewallet,470.28,23.514,5.8,January,Thursday,Afternoon
298,A,Yangon,Member,Male,Home and lifestyle,60.01,4,12.002,252.042,2019-01-25,Cash,240.04,12.002,4.5,January,Friday,Afternoon
299,C,Naypyitaw,Member,Female,Home and lifestyle,88.61,1,4.4305,93.0405,2019-01-19,Cash,88.61,4.4305,7.7,January,Saturday,morning
300,C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.982,209.622,2019-01-02,Credit card,199.64,9.982,6.7,January,Wednesday,Evening
301,B,Mandalay,Member,Male,Health and beauty,39.01,1,1.9505,40.9605,2019-03-12,Credit card,39.01,1.9505,4.7,March,Tuesday,Evening
302,C,Naypyitaw,Normal,Male,Food and beverages,48.61,1,2.4305,51.0405,2019-02-25,Cash,48.61,2.4305,4.4,February,Monday,Afternoon
303,A,Yangon,Normal,Female,Electronic accessories,51.19,4,10.238,214.998,2019-03-18,Credit card,204.76,10.238,4.7,March,Monday,Evening
304,B,Mandalay,Normal,Female,Electronic accessories,14.96,8,5.984,125.664,2019-02-23,Cash,119.68,5.984,8.6,February,Saturday,Afternoon
305,A,Yangon,Member,Male,Electronic accessories,72.2,7,25.27,530.67,2019-03-26,Ewallet,505.4,25.27,4.3,March,Tuesday,Evening
306,A,Yangon,Normal,Female,Sports and travel,40.23,7,14.0805,295.6905,2019-03-30,Cash,281.61,14.0805,9.6,March,Saturday,Afternoon
307,A,Yangon,Member,Female,Home and lifestyle,88.79,8,35.516,745.836,2019-02-17,Cash,710.32,35.516,4.1,February,Sunday,Evening
308,A,Yangon,Member,Female,Electronic accessories,26.48,3,3.972,83.412,2019-03-21,Ewallet,79.44,3.972,4.7,March,Thursday,morning
309,A,Yangon,Normal,Female,Fashion accessories,81.91,2,8.191,172.011,2019-03-05,Cash,163.82,8.191,7.8,March,Tuesday,Evening
310,B,Mandalay,Member,Male,Sports and travel,79.93,6,23.979,503.559,2019-01-31,Cash,479.58,23.979,5.5,January,Thursday,Afternoon
311,C,Naypyitaw,Member,Male,Fashion accessories,69.33,2,6.933,145.593,2019-02-05,Ewallet,138.66,6.933,9.7,February,Tuesday,Evening
312,A,Yangon,Member,Female,Food and beverages,14.23,5,3.5575,74.7075,2019-02-01,Credit card,71.15,3.5575,4.4,February,Friday,morning
313,A,Yangon,Member,Female,Health and beauty,15.55,9,6.9975,146.9475,2019-03-07,Cash,139.95,6.9975,5.0,March,Thursday,Afternoon
314,C,Naypyitaw,Member,Female,Electronic accessories,78.13,10,39.065,820.365,2019-02-10,Cash,781.3,39.065,4.4,February,Sunday,Evening
315,C,Naypyitaw,Member,Male,Food and beverages,99.37,2,9.937,208.677,2019-02-14,Cash,198.74,9.937,5.2,February,Thursday,Evening
316,C,Naypyitaw,Member,Female,Food and beverages,21.08,3,3.162,66.402,2019-02-09,Cash,63.24,3.162,7.3,February,Saturday,morning
317,C,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.6975,392.6475,2019-01-10,Cash,373.95,18.6975,4.9,January,Thursday,morning
318,C,Naypyitaw,Member,Female,Health and beauty,29.67,7,10.3845,218.0745,2019-03-11,Credit card,207.69,10.3845,8.1,March,Monday,Evening
319,C,Naypyitaw,Member,Male,Health and beauty,44.07,4,8.814,185.094,2019-02-18,Ewallet,176.28,8.814,8.4,February,Monday,Evening
320,C,Naypyitaw,Normal,Female,Food and beverages,22.93,9,10.3185,216.6885,2019-02-26,Cash,206.37,10.3185,5.5,February,Tuesday,Evening
321,C,Naypyitaw,Normal,Female,Health and beauty,39.42,1,1.971,41.391,2019-01-18,Cash,39.42,1.971,8.4,January,Friday,Afternoon
322,A,Yangon,Normal,Male,Health and beauty,15.26,6,4.578,96.138,2019-02-15,Ewallet,91.56,4.578,9.8,February,Friday,Evening
323,A,Yangon,Normal,Female,Fashion accessories,61.77,5,15.4425,324.2925,2019-03-08,Cash,308.85,15.4425,6.7,March,Friday,Afternoon
324,A,Yangon,Normal,Male,Home and lifestyle,21.52,6,6.456,135.576,2019-01-17,Credit card,129.12,6.456,9.4,January,Thursday,Afternoon
325,B,Mandalay,Normal,Male,Sports and travel,97.74,4,19.548,410.508,2019-03-12,Ewallet,390.96,19.548,6.4,March,Tuesday,Evening
326,A,Yangon,Member,Male,Food and beverages,99.78,5,24.945,523.845,2019-03-09,Cash,498.9,24.945,5.4,March,Saturday,Evening
327,C,Naypyitaw,Member,Male,Food and beverages,94.26,4,18.852,395.892,2019-03-12,Cash,377.04,18.852,8.6,March,Tuesday,Evening
328,B,Mandalay,Member,Male,Health and beauty,51.13,4,10.226,214.746,2019-01-25,Credit card,204.52,10.226,4.0,January,Friday,morning
329,A,Yangon,Member,Male,Electronic accessories,36.36,4,7.272,152.712,2019-03-25,Cash,145.44,7.272,7.6,March,Monday,Afternoon
330,B,Mandalay,Normal,Male,Home and lifestyle,22.02,9,9.909,208.089,2019-02-07,Cash,198.18,9.909,6.8,February,Thursday,Evening
331,A,Yangon,Normal,Male,Food and beverages,32.9,3,4.935,103.635,2019-02-17,Credit card,98.7,4.935,9.1,February,Sunday,Evening
332,A,Yangon,Normal,Male,Fashion accessories,77.02,5,19.255,404.355,2019-02-03,Cash,385.1,19.255,5.5,February,Sunday,Afternoon
333,A,Yangon,Member,Male,Food and beverages,23.48,2,2.348,49.308,2019-03-14,Credit card,46.96,2.348,7.9,March,Thursday,morning
334,C,Naypyitaw,Member,Male,Sports and travel,14.7,5,3.675,77.175,2019-03-24,Ewallet,73.5,3.675,8.5,March,Sunday,Afternoon
335,A,Yangon,Member,Female,Electronic accessories,28.45,5,7.1125,149.3625,2019-03-21,Credit card,142.25,7.1125,9.1,March,Thursday,morning
336,A,Yangon,Normal,Male,Fashion accessories,76.4,9,34.38,721.98,2019-03-19,Ewallet,687.6,34.38,7.5,March,Tuesday,Afternoon
337,B,Mandalay,Normal,Female,Sports and travel,57.95,6,17.385,365.085,2019-02-24,Cash,347.7,17.385,5.2,February,Sunday,Afternoon
338,C,Naypyitaw,Normal,Female,Electronic accessories,47.65,3,7.1475,150.0975,2019-03-28,Credit card,142.95,7.1475,9.5,March,Thursday,Afternoon
339,B,Mandalay,Member,Female,Food and beverages,42.82,9,19.269,404.649,2019-02-05,Credit card,385.38,19.269,8.9,February,Tuesday,Afternoon
340,B,Mandalay,Member,Male,Electronic accessories,48.09,3,7.2135,151.4835,2019-02-10,Credit card,144.27,7.2135,7.8,February,Sunday,Evening
341,B,Mandalay,Member,Female,Health and beauty,55.97,7,19.5895,411.3795,2019-03-05,Ewallet,391.79,19.5895,8.9,March,Tuesday,Evening
342,B,Mandalay,Member,Female,Health and beauty,76.9,7,26.915,565.215,2019-02-15,Cash,538.3,26.915,7.7,February,Friday,Evening
343,C,Naypyitaw,Normal,Female,Food and beverages,97.03,5,24.2575,509.4075,2019-01-30,Ewallet,485.15,24.2575,9.3,January,Wednesday,Evening
344,A,Yangon,Normal,Male,Sports and travel,44.65,3,6.6975,140.6475,2019-02-14,Cash,133.95,6.6975,6.2,February,Thursday,Afternoon
345,A,Yangon,Normal,Female,Fashion accessories,77.93,9,35.0685,736.4385,2019-02-27,Ewallet,701.37,35.0685,7.6,February,Wednesday,Evening
346,A,Yangon,Member,Male,Electronic accessories,71.95,1,3.5975,75.5475,2019-02-04,Cash,71.95,3.5975,7.3,February,Monday,Afternoon
347,C,Naypyitaw,Member,Female,Home and lifestyle,89.25,8,35.7,749.7,2019-01-20,Cash,714.0,35.7,4.7,January,Sunday,morning
348,A,Yangon,Normal,Male,Electronic accessories,26.02,7,9.107,191.247,2019-03-28,Cash,182.14,9.107,5.1,March,Thursday,Evening
349,B,Mandalay,Normal,Female,Health and beauty,13.5,10,6.75,141.75,2019-02-27,Credit card,135.0,6.75,4.8,February,Wednesday,morning
350,C,Naypyitaw,Member,Female,Fashion accessories,99.3,10,49.65,1042.65,2019-02-15,Credit card,993.0,49.65,6.6,February,Friday,Afternoon
351,A,Yangon,Normal,Male,Electronic accessories,51.69,7,18.0915,379.9215,2019-01-26,Cash,361.83,18.0915,5.5,January,Saturday,Evening
352,B,Mandalay,Member,Female,Fashion accessories,54.73,7,19.1555,402.2655,2019-03-14,Credit card,383.11,19.1555,8.5,March,Thursday,Evening
353,B,Mandalay,Member,Male,Home and lifestyle,27.0,9,12.15,255.15,2019-03-02,Cash,243.0,12.15,4.8,March,Saturday,Afternoon
354,C,Naypyitaw,Normal,Female,Electronic accessories,30.24,1,1.512,31.752,2019-03-04,Cash,30.24,1.512,8.4,March,Monday,Afternoon
355,B,Mandalay,Member,Female,Food and beverages,89.14,4,17.828,374.388,2019-01-07,Credit card,356.56,17.828,7.8,January,Monday,Afternoon
356,C,Naypyitaw,Normal,Female,Fashion accessories,37.55,10,18.775,394.275,2019-03-08,Credit card,375.5,18.775,9.3,March,Friday,Evening
357,C,Naypyitaw,Normal,Female,Sports and travel,95.44,10,47.72,1002.12,2019-01-09,Cash,954.4,47.72,5.2,January,Wednesday,Afternoon
358,B,Mandalay,Normal,Male,Electronic accessories,27.5,3,4.125,86.625,2019-03-01,Ewallet,82.5,4.125,6.5,March,Friday,Afternoon
359,B,Mandalay,Normal,Male,Sports and travel,74.97,1,3.7485,78.7185,2019-03-16,Cash,74.97,3.7485,5.6,March,Saturday,Evening
360,A,Yangon,Member,Male,Food and beverages,80.96,8,32.384,680.064,2019-02-17,Credit card,647.68,32.384,7.4,February,Sunday,morning
361,C,Naypyitaw,Normal,Female,Food and beverages,94.47,8,37.788,793.548,2019-02-27,Cash,755.76,37.788,9.1,February,Wednesday,Afternoon
362,C,Naypyitaw,Normal,Male,Food and beverages,99.79,2,9.979,209.559,2019-03-07,Ewallet,199.58,9.979,8.0,March,Thursday,Evening
363,A,Yangon,Normal,Male,Home and lifestyle,73.22,6,21.966,461.286,2019-01-21,Cash,439.32,21.966,7.2,January,Monday,Evening
364,C,Naypyitaw,Normal,Female,Food and beverages,41.24,4,8.248,173.208,2019-02-19,Cash,164.96,8.248,7.1,February,Tuesday,Evening
365,C,Naypyitaw,Normal,Female,Fashion accessories,81.68,4,16.336,343.056,2019-01-06,Cash,326.72,16.336,9.1,January,Sunday,Afternoon
366,C,Naypyitaw,Normal,Female,Electronic accessories,51.32,9,23.094,484.974,2019-03-14,Cash,461.88,23.094,5.6,March,Thursday,Evening
367,A,Yangon,Member,Male,Home and lifestyle,65.94,4,13.188,276.948,2019-03-24,Cash,263.76,13.188,6.0,March,Sunday,morning
368,C,Naypyitaw,Normal,Female,Sports and travel,14.36,10,7.18,150.78,2019-01-27,Cash,143.6,7.18,5.4,January,Sunday,Afternoon
369,A,Yangon,Member,Male,Electronic accessories,21.5,9,9.675,203.175,2019-03-06,Credit card,193.5,9.675,7.8,March,Wednesday,Afternoon
370,B,Mandalay,Member,Female,Electronic accessories,26.26,7,9.191,193.011,2019-02-02,Cash,183.82,9.191,9.9,February,Saturday,Evening
